Delta,K,Classification
0.010000,0.000000,2
0.014975,0.000000,2
0.019950,0.000000,2
0.024925,0.000000,2
0.029899,0.000000,2
0.034874,0.000000,2
0.039849,0.000000,2
0.044824,0.000000,2
0.049799,0.000000,2
0.054774,0.000000,2
0.059749,0.000000,2
0.064724,0.000000,2
0.069698,0.000000,2
0.074673,0.000000,2
0.079648,0.000000,2
0.084623,0.000000,2
0.089598,0.000000,2
0.094573,0.000000,2
0.099548,0.000000,2
0.104523,0.000000,2
0.109497,0.000000,2
0.114472,0.000000,2
0.119447,0.000000,2
0.124422,0.000000,2
0.129397,0.000000,2
0.134372,0.000000,2
0.139347,0.000000,2
0.144322,0.000000,2
0.149296,0.000000,2
0.154271,0.000000,2
0.159246,0.000000,2
0.164221,0.000000,2
0.169196,0.000000,2
0.174171,0.000000,2
0.179146,0.000000,2
0.184121,0.000000,2
0.189095,0.000000,2
0.194070,0.000000,2
0.199045,0.000000,2
0.204020,0.000000,2
0.208995,0.000000,2
0.213970,0.000000,2
0.218945,0.000000,2
0.223920,0.000000,2
0.228894,0.000000,2
0.233869,0.000000,2
0.238844,0.000000,2
0.243819,0.000000,2
0.248794,0.000000,2
0.253769,0.000000,2
0.258744,0.000000,2
0.263719,0.000000,2
0.268693,0.000000,2
0.273668,0.000000,2
0.278643,0.000000,2
0.283618,0.000000,2
0.288593,0.000000,2
0.293568,0.000000,2
0.298543,0.000000,2
0.303518,0.000000,2
0.308492,0.000000,2
0.313467,0.000000,2
0.318442,0.000000,2
0.323417,0.000000,2
0.328392,0.000000,2
0.333367,0.000000,2
0.338342,0.000000,2
0.343317,0.000000,2
0.348291,0.000000,2
0.353266,0.000000,2
0.358241,0.000000,2
0.363216,0.000000,2
0.368191,0.000000,2
0.373166,0.000000,2
0.378141,0.000000,2
0.383116,0.000000,2
0.388090,0.000000,2
0.393065,0.000000,2
0.398040,0.000000,2
0.403015,0.000000,2
0.407990,0.000000,2
0.412965,0.000000,2
0.417940,0.000000,2
0.422915,0.000000,2
0.427889,0.000000,2
0.432864,0.000000,2
0.437839,0.000000,2
0.442814,0.000000,2
0.447789,0.000000,2
0.452764,0.000000,2
0.457739,0.000000,2
0.462714,0.000000,2
0.467688,0.000000,2
0.472663,0.000000,2
0.477638,0.000000,2
0.482613,0.000000,2
0.487588,0.000000,2
0.492563,0.000000,2
0.497538,0.000000,2
0.502513,0.000000,2
0.507487,0.000000,2
0.512462,0.000000,2
0.517437,0.000000,2
0.522412,0.000000,2
0.527387,0.000000,2
0.532362,0.000000,2
0.537337,0.000000,2
0.542312,0.000000,2
0.547286,0.000000,2
0.552261,0.000000,2
0.557236,0.000000,2
0.562211,0.000000,2
0.567186,0.000000,2
0.572161,0.000000,2
0.577136,0.000000,2
0.582111,0.000000,2
0.587085,0.000000,2
0.592060,0.000000,2
0.597035,0.000000,2
0.602010,0.000000,2
0.606985,0.000000,2
0.611960,0.000000,2
0.616935,0.000000,2
0.621910,0.000000,2
0.626884,0.000000,2
