alpha,branch_id,phi_eq,eig1_real,eig1_imag,eig2_real,eig2_imag,stable_flag
0.250000,0,0.0000000000,-0.0400000000,0.8935323161,-0.0400000000,-0.8935323161,1
0.252000,0,0.0000000000,-0.0400000000,0.8926365442,-0.0400000000,-0.8926365442,1
0.254000,0,0.0000000000,-0.0400000000,0.8917398724,-0.0400000000,-0.8917398724,1
0.256000,0,-0.0000000000,-0.0400000000,0.8908422981,-0.0400000000,-0.8908422981,1
0.258000,0,0.0000000000,-0.0400000000,0.8899438185,-0.0400000000,-0.8899438185,1
0.260000,0,-0.0000000000,-0.0400000000,0.8890444308,-0.0400000000,-0.8890444308,1
0.262000,0,-0.0000000000,-0.0400000000,0.8881441324,-0.0400000000,-0.8881441324,1
0.264000,0,0.0000000000,-0.0400000000,0.8872429205,-0.0400000000,-0.8872429205,1
0.266000,0,0.0000000000,-0.0400000000,0.8863407922,-0.0400000000,-0.8863407922,1
0.268000,0,0.0000000000,-0.0400000000,0.8854377448,-0.0400000000,-0.8854377448,1
0.270000,0,0.0000000000,-0.0400000000,0.8845337755,-0.0400000000,-0.8845337755,1
0.272000,0,0.0000000000,-0.0400000000,0.8836288814,-0.0400000000,-0.8836288814,1
0.274000,0,0.0000000000,-0.0400000000,0.8827230596,-0.0400000000,-0.8827230596,1
0.276000,0,0.0000000000,-0.0400000000,0.8818163074,-0.0400000000,-0.8818163074,1
0.278000,0,0.0000000000,-0.0400000000,0.8809086218,-0.0400000000,-0.8809086218,1
0.280000,0,0.0000000000,-0.0400000000,0.8800000000,-0.0400000000,-0.8800000000,1
0.282000,0,0.0000000000,-0.0400000000,0.8790904390,-0.0400000000,-0.8790904390,1
0.284000,0,0.0000000000,-0.0400000000,0.8781799360,-0.0400000000,-0.8781799360,1
0.286000,0,-0.0000000000,-0.0400000000,0.8772684880,-0.0400000000,-0.8772684880,1
0.288000,0,0.0000000000,-0.0400000000,0.8763560920,-0.0400000000,-0.8763560920,1
0.290000,0,0.0000000000,-0.0400000000,0.8754427451,-0.0400000000,-0.8754427451,1
0.292000,0,0.0000000000,-0.0400000000,0.8745284444,-0.0400000000,-0.8745284444,1
